 EoSType = ColdTable
 Nrho=2000
 RhoMin=   0.161865E-14    RhoMax=   0.998053E-03
HeatCapacity=   0.160000E-02
     GammaTh=   0.166667E+01
    Kappa=   0.100000E+03
 RhoSpacing = Log
-2.74170069E-03 1.51646597E+00 2.84589362E-03
-2.74170667E-03 1.51668691E+00 2.84606827E-03
-2.74171204E-03 1.51690614E+00 2.84630971E-03
-2.74171738E-03 1.51712555E+00 2.84655138E-03
-2.74172275E-03 1.51734515E+00 2.84679277E-03
-2.74172809E-03 1.51756493E+00 2.84703438E-03
-2.74173345E-03 1.51778489E+00 2.84727573E-03
-2.74173882E-03 1.51800504E+00 2.84751704E-03
-2.74174418E-03 1.51822537E+00 2.84775834E-03
-2.74174954E-03 1.51844589E+00 2.84799960E-03
-2.74175490E-03 1.51866659E+00 2.84824084E-03
-2.74176006E-03 1.51888683E+00 2.84850572E-03
-2.74176456E-03 1.51910510E+00 2.84884818E-03
-2.74176907E-03 1.51932357E+00 2.84919060E-03
-2.74177357E-03 1.51954221E+00 2.84953296E-03
-2.74177807E-03 1.51976104E+00 2.84987529E-03
-2.74178255E-03 1.51998004E+00 2.85021781E-03
-2.74178705E-03 1.52019924E+00 2.85056004E-03
-2.74179155E-03 1.52041862E+00 2.85090223E-03
-2.74179605E-03 1.52063818E+00 2.85124436E-03
-2.74180055E-03 1.52085793E+00 2.85158645E-03
-2.74180488E-03 1.52107736E+00 2.85194743E-03
-2.74180852E-03 1.52129454E+00 2.85239942E-03
-2.74181219E-03 1.52151190E+00 2.85285107E-03
-2.74181584E-03 1.52172944E+00 2.85330291E-03
-2.74181948E-03 1.52194717E+00 2.85375466E-03
-2.74182312E-03 1.52216508E+00 2.85420634E-03
-2.74182677E-03 1.52238318E+00 2.85465795E-03
-2.74183041E-03 1.52260145E+00 2.85510947E-03
-2.74183405E-03 1.52281992E+00 2.85556092E-03
-2.74183772E-03 1.52303857E+00 2.85601204E-03
-2.74184127E-03 1.52325707E+00 2.85647617E-03
-2.74184404E-03 1.52347295E+00 2.85704868E-03
-2.74184682E-03 1.52368901E+00 2.85762106E-03
-2.74184959E-03 1.52390525E+00 2.85819331E-03
-2.74185236E-03 1.52412168E+00 2.85876545E-03
-2.74185514E-03 1.52433828E+00 2.85933747E-03
-2.74185791E-03 1.52455508E+00 2.85990936E-03
-2.74186068E-03 1.52477205E+00 2.86048114E-03
-2.74186348E-03 1.52498922E+00 2.86105254E-03
-2.74186625E-03 1.52520656E+00 2.86162407E-03
-2.74186901E-03 1.52542396E+00 2.86220091E-03
-2.74187088E-03 1.52563828E+00 2.86290740E-03
-2.74187275E-03 1.52585278E+00 2.86361372E-03
-2.74187462E-03 1.52606747E+00 2.86431986E-03
-2.74187649E-03 1.52628234E+00 2.86502581E-03
-2.74187838E-03 1.52649740E+00 2.86573132E-03
-2.74188027E-03 1.52671264E+00 2.86643665E-03
-2.74188214E-03 1.52692806E+00 2.86714206E-03
-2.74188401E-03 1.52714366E+00 2.86784729E-03
-2.74188588E-03 1.52735944E+00 2.86855233E-03
-2.74188778E-03 1.52757542E+00 2.86925694E-03
-2.74188873E-03 1.52778796E+00 2.87010989E-03
-2.74188965E-03 1.52800060E+00 2.87096615E-03
-2.74189056E-03 1.52821342E+00 2.87182215E-03
-2.74189150E-03 1.52842642E+00 2.87267762E-03
-2.74189244E-03 1.52863961E+00 2.87353283E-03
-2.74189335E-03 1.52885298E+00 2.87438804E-03
-2.74189429E-03 1.52906653E+00 2.87524272E-03
-2.74189523E-03 1.52928026E+00 2.87609714E-03
-2.74189614E-03 1.52949418E+00 2.87695156E-03
-2.74189705E-03 1.52970827E+00 2.87780572E-03
-2.74189708E-03 1.52991885E+00 2.87881570E-03
-2.74189696E-03 1.53012925E+00 2.87984053E-03
-2.74189687E-03 1.53033983E+00 2.88086472E-03
-2.74189678E-03 1.53055060E+00 2.88188853E-03
-2.74189667E-03 1.53076154E+00 2.88291223E-03
-2.74189658E-03 1.53097267E+00 2.88393529E-03
-2.74189649E-03 1.53118398E+00 2.88495798E-03
-2.74189637E-03 1.53139546E+00 2.88598056E-03
-2.74189631E-03 1.53160714E+00 2.88700224E-03
-2.74189619E-03 1.53181899E+00 2.88802408E-03
-2.74189517E-03 1.53202722E+00 2.88920976E-03
-2.74189393E-03 1.53223496E+00 2.89042444E-03
-2.74189275E-03 1.53244288E+00 2.89163806E-03
-2.74189151E-03 1.53265097E+00 2.89285170E-03
-2.74189032E-03 1.53285925E+00 2.89406428E-03
-2.74188908E-03 1.53306769E+00 2.89527688E-03
-2.74188790E-03 1.53327633E+00 2.89648841E-03
-2.74188666E-03 1.53348514E+00 2.89769997E-03
-2.74188547E-03 1.53369414E+00 2.89891047E-03
-2.74188423E-03 1.53390331E+00 2.90012099E-03
-2.74188207E-03 1.53410878E+00 2.90150292E-03
-2.74187965E-03 1.53431336E+00 2.90293095E-03
-2.74187717E-03 1.53451811E+00 2.90435881E-03
-2.74187474E-03 1.53472305E+00 2.90578541E-03
-2.74187229E-03 1.53492817E+00 2.90721156E-03
-2.74186984E-03 1.53513346E+00 2.90863700E-03
-2.74186741E-03 1.53533893E+00 2.91006146E-03
-2.74186496E-03 1.53554457E+00 2.91148548E-03
-2.74186251E-03 1.53575040E+00 2.91290878E-03
-2.74186008E-03 1.53595641E+00 2.91433111E-03
-2.74185666E-03 1.53615863E+00 2.91593201E-03
-2.74185283E-03 1.53635951E+00 2.91760104E-03
