# EOS Table generated on 20120309 from
# LS220_234r_136t_50y_analmu_20091212_SVNr26.h5
# Original table has nrho ntemp nye:    234   136    50
# T =    0.100000E-01
EoSType = ColdTable
Nrho =  2000
RhoMin =   0.161865E-14      RhoMax =   0.161865E-01
HeatCapacity =   0.160000E-02
GammaTh =   0.166667E+01
Kappa =   0.100000E+03
RhoSpacing = Log
-9.84558468E-03 1.51871864E+00 2.83216317E-03
-9.84558956E-03 1.51896121E+00 2.83239331E-03
-9.84559443E-03 1.51920401E+00 2.83262342E-03
-9.84559929E-03 1.51944703E+00 2.83285352E-03
-9.84560416E-03 1.51969028E+00 2.83308358E-03
-9.84560861E-03 1.51993240E+00 2.83336353E-03
-9.84561260E-03 1.52017318E+00 2.83370020E-03
-9.84561658E-03 1.52041419E+00 2.83403683E-03
-9.84562056E-03 1.52065543E+00 2.83437341E-03
-9.84562451E-03 1.52089689E+00 2.83470953E-03
-9.84562849E-03 1.52113857E+00 2.83504602E-03
-9.84563246E-03 1.52138048E+00 2.83538246E-03
-9.84563644E-03 1.52162261E+00 2.83571885E-03
-9.84564041E-03 1.52186496E+00 2.83605520E-03
-9.84564357E-03 1.52210484E+00 2.83649322E-03
-9.84564667E-03 1.52234458E+00 2.83694439E-03
-9.84564976E-03 1.52258456E+00 2.83739549E-03
-9.84565285E-03 1.52282475E+00 2.83784651E-03
-9.84565594E-03 1.52306517E+00 2.83829745E-03
-9.84565899E-03 1.52330582E+00 2.83874789E-03
-9.84566208E-03 1.52354669E+00 2.83919867E-03
-9.84566517E-03 1.52378778E+00 2.83964937E-03
-9.84566795E-03 1.52402810E+00 2.84013838E-03
-9.84567013E-03 1.52426640E+00 2.84071446E-03
-9.84567232E-03 1.52450492E+00 2.84129041E-03
-9.84567448E-03 1.52474367E+00 2.84186582E-03
-9.84567667E-03 1.52498263E+00 2.84244152E-03
-9.84567885E-03 1.52522182E+00 2.84301710E-03
-9.84568101E-03 1.52546124E+00 2.84359213E-03
-9.84568319E-03 1.52570088E+00 2.84416745E-03
-9.84568538E-03 1.52594074E+00 2.84474265E-03
-9.84568685E-03 1.52617829E+00 2.84541837E-03
-9.84568811E-03 1.52641512E+00 2.84613179E-03
-9.84568933E-03 1.52665217E+00 2.84684460E-03
-9.84569058E-03 1.52688944E+00 2.84755763E-03
-9.84569180E-03 1.52712694E+00 2.84827006E-03
-9.84569306E-03 1.52736466E+00 2.84898272E-03
-9.84569428E-03 1.52760261E+00 2.84969477E-03
-9.84569553E-03 1.52784077E+00 2.85040705E-03
-9.84569660E-03 1.52807860E+00 2.85114186E-03
-9.84569688E-03 1.52831344E+00 2.85200768E-03
-9.84569711E-03 1.52854851E+00 2.85287281E-03
-9.84569735E-03 1.52878380E+00 2.85373766E-03
-9.84569763E-03 1.52901930E+00 2.85460266E-03
-9.84569787E-03 1.52925504E+00 2.85546697E-03
-9.84569811E-03 1.52949099E+00 2.85633100E-03
-9.84569838E-03 1.52972716E+00 2.85719518E-03
-9.84569862E-03 1.52996357E+00 2.85805866E-03
-9.84569829E-03 1.53019784E+00 2.85902044E-03
-9.84569748E-03 1.53043058E+00 2.86005523E-03
-9.84569668E-03 1.53066353E+00 2.86108962E-03
-9.84569587E-03 1.53089671E+00 2.86212363E-03
-9.84569506E-03 1.53113011E+00 2.86315724E-03
-9.84569428E-03 1.53136372E+00 2.86419090E-03
-9.84569348E-03 1.53159756E+00 2.86522375E-03
-9.84569267E-03 1.53183163E+00 2.86625620E-03
-9.84569189E-03 1.53206590E+00 2.86728870E-03
-9.84568996E-03 1.53229595E+00 2.86851132E-03
-9.84568802E-03 1.53252618E+00 2.86973506E-03
-9.84568608E-03 1.53275663E+00 2.87095825E-03
-9.84568414E-03 1.53298729E+00 2.87218091E-03
-9.84568220E-03 1.53321817E+00 2.87340303E-03
-9.84568026E-03 1.53344928E+00 2.87462462E-03
-9.84567831E-03 1.53368060E+00 2.87584567E-03
-9.84567637E-03 1.53391215E+00 2.87706618E-03
-9.84567392E-03 1.53414188E+00 2.87837522E-03
-9.84567074E-03 1.53436892E+00 2.87981068E-03
