# EOS Table generated on 20120306 from
# HShenEOS_rho220_temp180_ye65_version2.0_20111026_EOSmaker_svn9.h5
# Original table has nrho ntemp nye:    220   180    65
EoSType = BetaEq
Nrho =   300NT =   120
RhoMin =   0.161865E-09      RhoMax =   0.158181E-01
Tmin =   0.100000E-01      Tmax =   0.316228E+03
HeatCapacity =   0.160000E-02
GammaTh =   0.166667E+01
Kappa =   0.100000E+03
RhoSpacing = Log
TSpacing = Log
 2.12646302E-03 1.69493184E+00 4.39521969E-02
 2.21292296E-03 1.69672485E+00 4.42695174E-02
 2.29995543E-03 1.69853252E+00 4.45813152E-02
 2.38793456E-03 1.70036432E+00 4.48928522E-02
 2.47696629E-03 1.70221630E+00 4.52008561E-02
 2.56822045E-03 1.70409454E+00 4.55125123E-02
 2.66034823E-03 1.70599756E+00 4.58250255E-02
 2.75311332E-03 1.70791979E+00 4.61333780E-02
 2.84687824E-03 1.70986812E+00 4.64445524E-02
 2.94106220E-03 1.71183287E+00 4.67487830E-02
 3.03744056E-03 1.71383638E+00 4.70582285E-02
 3.13508388E-03 1.71585959E+00 4.73615009E-02
 3.23386868E-03 1.71791076E+00 4.76674924E-02
 3.33311498E-03 1.71998229E+00 4.79675969E-02
 3.43305131E-03 1.72208385E+00 4.82641000E-02
 3.53446621E-03 1.72421711E+00 4.85559775E-02
 3.63743982E-03 1.72638312E+00 4.88467678E-02
 3.74115938E-03 1.72858358E+00 4.91386690E-02
 3.84514378E-03 1.73080704E+00 4.94223165E-02
 3.94990610E-03 1.73306711E+00 4.97056602E-02
 4.05632514E-03 1.73538299E+00 4.99663272E-02
 4.16372781E-03 1.73775723E+00 5.02259246E-02
 4.27107949E-03 1.74015408E+00 5.04763084E-02
 4.37879338E-03 1.74258977E+00 5.07284764E-02
 4.48935971E-03 1.74498702E+00 5.10139069E-02
 4.60156010E-03 1.74739002E+00 5.13094563E-02
 4.71405368E-03 1.74983528E+00 5.15873807E-02
 4.82657175E-03 1.75231973E+00 5.18489158E-02
 4.93973276E-03 1.75489121E+00 5.20973995E-02
 5.05315388E-03 1.75754154E+00 5.23238724E-02
 5.16698242E-03 1.76024763E+00 5.25455379E-02
 5.28011691E-03 1.76297620E+00 5.27536629E-02
 5.38386048E-03 1.76646729E+00 5.27174103E-02
 5.48380353E-03 1.77017803E+00 5.25941389E-02
 5.56187896E-03 1.77584983E+00 5.18052590E-02
 5.64366464E-03 1.78202308E+00 5.08654563E-02
 5.73150231E-03 1.78816638E+00 4.99498363E-02
 5.82166037E-03 1.79439344E+00 4.90702780E-02
 5.91251512E-03 1.80051937E+00 4.82475582E-02
 6.00279023E-03 1.80677359E+00 4.74143880E-02
 6.09115117E-03 1.81290288E+00 4.66526640E-02
 6.17912971E-03 1.81889041E+00 4.59734231E-02
 6.26438510E-03 1.82482181E+00 4.53365029E-02
 6.34783507E-03 1.83083950E+00 4.46871311E-02
 6.42899795E-03 1.83679202E+00 4.40821981E-02
 6.50829669E-03 1.84257332E+00 4.35523356E-02
 6.58697355E-03 1.84835275E+00 4.30527268E-02
 6.66351213E-03 1.85409363E+00 4.25808567E-02
 6.73847443E-03 1.85979715E+00 4.21403484E-02
 6.81179187E-03 1.86541006E+00 4.17485403E-02
 6.88522929E-03 1.87102014E+00 4.13719985E-02
 6.95518164E-03 1.87655352E+00 4.10092152E-02
 7.02707984E-03 1.88202893E+00 4.07244411E-02
 7.09577627E-03 1.88736376E+00 4.04736699E-02
 7.16564370E-03 1.89265289E+00 4.02312089E-02
 7.23294230E-03 1.89791565E+00 3.99838655E-02
 7.30158917E-03 1.90308559E+00 3.98039606E-02
 7.36783680E-03 1.90825491E+00 3.96298609E-02
 7.43549316E-03 1.91334199E+00 3.94896695E-02
 7.50200068E-03 1.91845456E+00 3.93622028E-02
 7.56755599E-03 1.92341153E+00 3.92791770E-02
 7.63527544E-03 1.92826659E+00 3.92081890E-02
 7.70048153E-03 1.93311759E+00 3.91239331E-02
 7.76687221E-03 1.93802596E+00 3.90457624E-02
 7.83406423E-03 1.94284691E+00 3.90018522E-02
 7.89988286E-03 1.94764793E+00 3.89655178E-02
 7.96538329E-03 1.95244736E+00 3.89533060E-02
 8.03366064E-03 1.95713360E+00 3.89843459E-02
 8.10137262E-03 1.96183917E+00 3.89902116E-02
 8.16759061E-03 1.96648199E+00 3.90045707E-02
 8.23469514E-03 1.97130241E+00 3.89529174E-02
 8.30411766E-03 1.97608663E+00 3.89453119E-02
 8.37323151E-03 1.98100344E+00 3.89327663E-02
 8.44123669E-03 1.98589862E+00 3.89310838E-02
 8.50857293E-03 1.99082964E+00 3.89337689E-02
 8.57946107E-03 1.99564800E+00 3.89701295E-02
 8.65114445E-03 2.00049591E+00 3.89863706E-02
 8.72236137E-03 2.00546679E+00 3.89675073E-02
 8.79287320E-03 2.01048498E+00 3.89538492E-02
 8.86323755E-03 2.01566979E+00 3.89206780E-02
 8.93335092E-03 2.02084962E+00 3.89046967E-02
 9.00820941E-03 2.02598209E+00 3.89275392E-02
 9.08271670E-03 2.03114216E+00 3.89599179E-02
 9.15689981E-03 2.03644945E+00 3.89751837E-02
 9.23070625E-03 2.04182764E+00 3.89852517E-02
 9.30436464E-03 2.04730137E+00 3.89979622E-02
 9.37745632E-03 2.05288635E+00 3.90262584E-02
 9.45000113E-03 2.05853101E+00 3.90665219E-02
 9.52835084E-03 2.06400506E+00 3.91925277E-02
 9.60681271E-03 2.06950243E+00 3.93417259E-02
 9.68494175E-03 2.07513459E+00 3.95833694E-02
 9.76338131E-03 2.08077456E+00 3.98487272E-02
